Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
"Стаховская Олеся Владимировна: Баронесса, которой не было",535 ₽,Олеся Стаховская,Другие Миры,Русское фэнтези,Нет данных,978-5-17-146090-7,16+,2022,352,Твёрдый переплёт,газетная,135x210  мм,0.28  кг
Крючкова Ольга Евгеньевна: Дети Ирия. Ладомира. Книга 1,645 ₽,Ольга Крючкова,Нет данных,Русское фэнтези,Велигор,978-5-88875-402-3,Нет данных,2016,304,Твёрдый переплёт,Нет данных,150x215  мм,0.43  кг
Романов Роман Николаевич: Охотники за голосами,729 ₽,Роман Романов,Власть,Русское фэнтези,Крылов,978-5-4226-0301-5,Нет данных,2017,512,Твёрдый переплёт,Нет данных,131x206  мм,0.36  кг
Евтеева Екатерина: Абсолютная магия,1 062 ₽,Екатерина Евтеева,Хроники пяти королевств,Русское фэнтези,RUGRAM,978-5-517-05502-6,16+,2021,256,Твёрдый переплёт,Нет данных,154x216  мм,0.42  кг
Сью Санна: Демон меня отбери!,849 ₽,Санна Сью,Любовное фэнтези,Русское фэнтези,RUGRAM,978-5-51-704886-8,16+,2021,224,Твёрдый переплёт,Нет данных,137x207  мм,0.32  кг
Лобанов Ник: Черный дракон. Кн. 2,1 189 ₽,Ник Лобанов,Фантазеры будущего,Русское фэнтези,RUGRAM,978-5-517-05657-3,12+,2021,282,Твёрдый переплёт,Нет данных,153x210  мм,0.45  кг
Евлахова Анастасия: Лампа для джинна,1 779 ₽,Евлахова Анастасия,Нет данных,Русское фэнтези,Animedia,978-80-7499-448-7,12+,2021,314,Твёрдый переплёт,Нет данных,153x217  мм,0.45  кг
Мори Юрий: Ментакль,1 062 ₽,Юрий Мори,Русская мозаика,Русское фэнтези,RUGRAM,978-5-517-06680-0,18+,2022,278,Твёрдый переплёт,Нет данных,155x215  мм,0.45  кг
Пивник Любовь: Женитьба Болотлена. Т. 2,1 359 ₽,Любовь Пивник,Нет данных,Русское фэнтези,Интернациональный Союз писателей,978-5-907350-69-4,16+,2021,220,Мягкий переплёт,Нет данных,145x210  мм,0.28  кг
Сешт Анна: Берег живых. Наследники императора. Кн. 2,1 147 ₽,Анна Сешт,Берег Живых,Русское фэнтези,RUGRAM,978-5-517-05630-6,16+,2021,274,Твёрдый переплёт,Нет данных,146x209  мм,0.44  кг
Огненная Любовь: Ванилька,1 444 ₽,Любовь Огненная,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07027-2,16+,2022,346,Твёрдый переплёт,Нет данных,153x210  мм,0.52  кг
Головачева Вера: Дух светящейся маски,620 ₽,Вера Головачева,Ужасные истории,Русское фэнтези,Нет данных,978-5-517-03639-1,16+,2020,70,Мягкий переплёт,Нет данных,146x209  мм,0.10  кг
Головачева Вера: Логово братьев-колдунов,662 ₽,Вера Головачева,Ужасные истории,Русское фэнтези,Нет данных,978-5-517-03648-3,16+,2021,74,Мягкий переплёт,Нет данных,146x209  мм,0.10  кг
Головачева Вера: Подарок нечистой силы,577 ₽,Вера Головачева,Ужасные истории,Русское фэнтези,Нет данных,978-5-517-03651-3,16+,2021,74,Мягкий переплёт,Нет данных,146x209  мм,0.11  кг
Головачева Вера: Шар черного мага,637 ₽,Вера Головачева,Ужасные истории,Русское фэнтези,Нет данных,978-5-517-03680-3,16+,2020,72,Мягкий переплёт,Нет данных,146x209  мм,0.10  кг
Коротаева Ольга Ивановна: Академия оборотней: Верпанты,1 519 ₽,Ольга Коротаева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06705-0,16+,2022,202,Твёрдый переплёт,Нет данных,155x217  мм,0.35  кг
Пожарская Анна: Брачная афера Ривотта Мадсона,1 062 ₽,Анна Пожарская,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06259-8,16+,2021,232,Твёрдый переплёт,Нет данных,154x215  мм,0.39  кг
Снегирева Ирина: Как укротить злодея,1 274 ₽,Ирина Снегирева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06466-0,16+,2022,320,Твёрдый переплёт,Нет данных,153x216  мм,0.50  кг
Комарова Марина Сергеевна: Лесничая и Чародей,1 189 ₽,Марина Комарова,Миры Марины Комаровой,Русское фэнтези,RUGRAM,978-5-517-06704-3,16+,2022,284,Твёрдый переплёт,Нет данных,155x215  мм,0.45  кг
Соул Диана: Фрейлина немедленного реагирования,2 309 ₽,Диана Соул,Фрейлина специального назначения,Русское фэнтези,RUGRAM,978-5-517-06219-2,16+,2021,394,Твёрдый переплёт,Нет данных,155x217  мм,0.52  кг
Иванова Ольга Дмитриевна: Любовь и волки,1 869 ₽,Ольга Иванова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05922-2,16+,2021,252,Твёрдый переплёт,Нет данных,153x216  мм,0.42  кг
Коэн Анна: Маковый венец. Т. 3,1 954 ₽,Коэн Анна,Luisa Obscura,Русское фэнтези,RUGRAM,978-5-517-05928-4,16+,2021,568,Твёрдый переплёт,Нет данных,155x215  мм,0.80  кг
Иванова Ольга Дмитриевна: Обреченная и обрученная,1 569 ₽,Ольга Иванова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04351-1,16+,2021,300,Твёрдый переплёт,Нет данных,153x217  мм,0.48  кг
Иванова Ольга Дмитриевна: Опасная роль для невесты,1 779 ₽,Ольга Иванова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06231-4,16+,2021,292,Твёрдый переплёт,Нет данных,155x217  мм,0.46  кг
Такаббир: Трон Знания. Кн. 3,2 729 ₽,Такаббир,Трон Знания,Русское фэнтези,RUGRAM,978-5-517-06859-0,16+,2022,582,Твёрдый переплёт,Нет данных,155x217  мм,0.82  кг
Перова Ксения: Обезглавленное древо. Кн. 2: Джори,1 699 ₽,Перова Ксения,Обезглавленное древо,Русское фэнтези,RUGRAM,978-5-517-06860-6,16+,2022,328,Твёрдый переплёт,Нет данных,154x217  мм,0.51  кг
Сешт Анна: Берег Живых. Выбор Богов. Кн. 2,1 232 ₽,Анна Сешт,Берег Живых,Русское фэнтези,RUGRAM,978-5-517-06935-1,16+,2022,346,Твёрдый переплёт,Нет данных,154x217  мм,0.55  кг
Логоша Кристина: Крылатый отбор,1 062 ₽,Кристина Логоша,Нет данных,Русское фэнтези,Нет данных,978-5-517-06137-9,16+,2021,230,Твёрдый переплёт,Нет данных,153x217  мм,0.39  кг
Зволинская Ирина: Тайна архивариуса сыскной полиции,1 104 ₽,Ирина Зволинская,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07092-0,16+,2022,282,Твёрдый переплёт,Нет данных,153x217  мм,0.41  кг
Гринберг Александра: Самое черное сердце,1 359 ₽,Александра Гринберг,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04865-3,16+,2021,272,Твёрдый переплёт,Нет данных,154x217  мм,0.44  кг
Канн Каталина: Попаданка для Повелителя Демонов. Кровь Хаоса,1 147 ₽,Каталина Канн,Королевство демонов,Русское фэнтези,RUGRAM,978-5-517-05549-1,16+,2021,340,Твёрдый переплёт,Нет данных,154x217  мм,0.52  кг
Мазуров Дмитрий: Теневой путь 4. Арена теней,1 189 ₽,Дмитрий Мазуров,Теневой путь,Русское фэнтези,RUGRAM,978-5-517-06114-0,16+,2021,304,Твёрдый переплёт,Нет данных,153x217  мм,0.48  кг
Резанова Наталья Владимировна: Княжеская ведьма,1 444 ₽,Наталья Резанова,Игра времен,Русское фэнтези,RUGRAM,978-5-517-05637-5,16+,2021,408,Твёрдый переплёт,Нет данных,154x217  мм,0.60  кг
Резанова Наталья Владимировна: Явление хозяев,1 062 ₽,Наталья Резанова,Игра времен,Русское фэнтези,RUGRAM,978-5-517-05665-8,16+,2021,254,Твёрдый переплёт,Нет данных,155x215  мм,0.42  кг
"Сергиенко Евгения: Мама, я Великан",934 ₽,Евгения Сергиенко,Нет данных,Русское фэнтези,Нет данных,978-5-517-06413-4,16+,2022,224,Твёрдый переплёт,Нет данных,153x217  мм,0.38  кг
Шумская Елизавета: Сказ о ведьме Буяне,1 359 ₽,Елизавета Шумская,Нет данных,Русское фэнтези,Нет данных,978-5-517-00955-5,16+,2021,394,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
Баштовая Ксения Николаевна: И явился Ворон,1 019 ₽,Ксения Баштовая,Миры Ксении Баштовой,Русское фэнтези,Нет данных,978-5-517-04287-3,16+,2021,304,Твёрдый переплёт,Нет данных,150x215  мм,0.47  кг
Росс Анвин: Контракт на любовь. Кн. 1,1 359 ₽,Росс Анвин,Сгорающие в пепле,Русское фэнтези,RUGRAM,978-5-517-06218-5,18+,2022,292,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Найденко Анна: Паук в янтарной паутине,1 062 ₽,Анна Найденко,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06398-4,16+,2021,262,Твёрдый переплёт,Нет данных,154x217  мм,0.43  кг
